Date,PETR4.SA,VALE3.SA,ITUB4.SA,WEGE3.SA,MGLU3.SA,ABEV3.SA,BBAS3.SA,RENT3.SA
2021-01-04,8.051274299621582,52.85942459106445,19.446636199951172,33.06497573852539,215.7353973388672,11.875998497009277,12.368096351623535,56.88699722290039
2021-01-05,8.36596965789795,53.74947738647461,19.32076644897461,35.09440231323242,211.96859741210938,12.129169464111328,12.239777565002441,56.55129623413086
2021-01-06,8.382678985595703,55.51222610473633,19.887176513671875,36.02495574951172,200.83938598632812,12.374669075012207,12.519444465637207,53.29485321044922
2021-01-07,8.633326530456543,59.135963439941406,20.661264419555664,37.513816833496094,198.27110290527344,12.313292503356934,13.016281127929688,55.82112121582031
2021-01-08,8.666747093200684,58.95103073120117,20.65497398376465,39.78254318237305,204.09254455566406,12.681540489196777,13.091955184936523,59.589508056640625
2021-01-11,8.59433650970459,58.93946838378906,20.189258575439453,38.56397247314453,201.09622192382812,12.351652145385742,12.87808895111084,58.431304931640625
2021-01-12,8.53028392791748,57.327003479003906,20.25218963623047,39.911048889160156,207.17446899414062,12.888680458068848,12.996540069580078,59.656654357910156
2021-01-13,8.118112564086914,55.6104850769043,19.91863250732422,40.00410079956055,205.63351440429688,12.405357360839844,12.354935646057129,59.63147735595703
2021-01-14,8.201661109924316,56.52364730834961,20.510221481323242,39.82241439819336,203.1508331298828,12.533854484558105,12.325325012207031,62.04864501953125
2021-01-15,7.831262588500977,54.06733703613281,19.736135482788086,38.178470611572266,205.11985778808594,12.294893264770508,11.943655014038086,59.34612274169922
2021-01-18,7.817338466644287,54.506591796875,19.635433197021484,40.85929489135742,209.314697265625,12.503020286560059,11.82191276550293,59.329341888427734
2021-01-19,7.990005016326904,54.36210250854492,19.402584075927734,39.70277786254883,206.14715576171875,12.541563987731934,11.621209144592285,57.74308395385742
2021-01-20,7.856327533721924,53.356468200683594,19.081619262695312,39.30398178100586,217.61880493164062,12.34885311126709,11.361274719238281,58.38933563232422
2021-01-21,7.672520637512207,53.9575309753418,18.823591232299805,38.838714599609375,218.21807861328125,12.03281021118164,11.246114730834961,56.9961051940918
2021-01-22,7.544412612915039,53.84772872924805,18.420801162719727,39.42361831665039,222.49855041503906,11.678221702575684,11.084894180297852,56.66040802001953
2021-01-26,7.51934814453125,53.02703094482422,17.809396743774414,39.41474914550781,220.44390869140625,11.870931625366211,10.788773536682129,55.359500885009766
2021-01-27,7.630745887756348,51.553253173828125,17.809396743774414,39.299556732177734,220.78634643554688,11.870931625366211,11.104635238647461,54.5369987487793
2021-01-28,7.73100471496582,52.651363372802734,18.5280818939209,38.98050308227539,224.2107391357422,11.978849411010742,11.364566802978516,56.43378829956055
2021-01-29,7.433014869689941,50.83082580566406,17.866132736206055,37.128299713134766,216.3346710205078,11.647388458251953,11.140827178955078,53.6137809753418
2021-02-01,7.666951656341553,52.749603271484375,18.342365264892578,37.46062469482422,213.4239501953125,12.025101661682129,11.282312393188477,53.67252731323242
2021-02-02,7.9816484451293945,50.66321563720703,17.9512939453125,37.76637268066406,216.59149169921875,12.03281021118164,11.206633567810059,56.66040802001953
2021-02-03,8.059629440307617,52.264137268066406,17.86298942565918,39.29068374633789,219.58782958984375,12.086767196655273,11.29547119140625,57.74308395385742
2021-02-04,8.02620792388916,51.60527420043945,17.787294387817383,37.917049407958984,216.67709350585938,12.025101661682129,11.249409675598145,58.41451644897461
2021-02-05,8.031779289245605,53.57029724121094,17.711606979370117,37.442909240722656,221.3000030517578,11.963435173034668,11.17373275756836,57.80183029174805
2021-02-08,7.8284783363342285,54.33320236206055,17.383615493774414,37.88602066040039,223.95388793945312,11.516345977783203,11.144119262695312,58.12916564941406
2021-02-09,7.669734954833984,54.47191619873047,17.591764450073242,37.66889572143555,224.63876342773438,11.531763076782227,11.279017448425293,57.508087158203125
2021-02-10,7.74214506149292,54.731990814208984,17.465618133544922,38.12086868286133,216.59149169921875,11.570304870605469,11.124377250671387,56.5261344909668
2021-02-11,7.820123195648193,53.80726623535156,17.465618133544922,38.550689697265625,219.58782958984375,11.524054527282715,11.167149543762207,56.19879913330078
2021-02-12,7.920382022857666,54.26384735107422,17.509765625,38.40446472167969,221.81365966796875,11.40071964263916,11.104635238647461,56.148433685302734
2021-02-17,8.240647315979004,55.685611724853516,17.730525970458984,37.199188232421875,218.3036651611328,11.770724296569824,10.97631549835205,55.31753158569336
2021-02-18,8.151531219482422,56.29246139526367,17.604381561279297,36.946624755859375,214.36566162109375,11.40071964263916,10.943413734436035,54.22645568847656
