data;retorno_carteira;retorno_ibov;retorno_cdi
2021-01-05;0,012301285651115546;0,005609068978896348;7,468999999993287e-05
2021-01-06;0,015290902829843134;0,01090605442062098;0,0001493855785958953
2021-01-07;0,046355090132112364;0,02866107727863154;0,00022408673620466502
2021-01-08;0,07166460398034369;0,05498574537357226;0,00029879347324301975
2021-01-11;0,05315215891105596;0,03583899863358009;0,00037350579012751517
2021-01-12;0,06725249993692728;0,04588471465443078;0,000448223687274929
2021-01-13;0,04228853041327496;0,02936959125491323;0,000522947165102039
2021-01-14;0,05379203316591541;0,04152397982422107;0,0005976762240256228
2021-01-15;0,02065881831905836;0,0163970377368039;0,0006724108644626803
2021-01-18;0,03320842791020162;0,022638708480237524;0,0007471510868299891
2021-01-19;0,023329585047620283;0,01783936975994882;0,000821896891544549
2021-01-20;0,01914549435593571;0,009699893722903585;0,0008966482790233599
2021-01-21;0,007128834838569853;-0,0009699893722904251;0,0009714052496831993
2021-01-22;0,00018610366098226194;-0,011690480608647302;0,0010461678039412892
2021-01-26;-0,011614299015972773;-0,017662241265878342;0,0011209359422144072
2021-01-27;-0,011605390304395002;-0,02257123095868696;0,0011957096649197752
2021-01-28;0,006860702716201095;0,006376625786534973;0,001270488972474615
2021-01-29;-0,029489624255869207;-0,021516894684458165;0,0013452738652959262
2021-02-01;-0,012797207535971578;-0,010062585401238278;0,0014200643438009308
2021-02-02;-0,006284388502284521;-0,002732839622800798;0,0014948604084066286
2021-02-03;0,008890320017180597;0,009843283456198337;0,0015696620595304633
2021-02-04;0,0004712763057910241;0,005929587206261466;0,0016444692975896569
2021-02-05;0,003097993094602236;0,011530221494963966;0,001719282123001431
2021-02-08;-0,0019327028316580286;0,008080433205687854;0,0017941005361832296
2021-02-09;-0,002639404289685343;0,007346615158824621;0,0018689245375522745
2021-02-10;-0,008152701803102014;-0,0010796403448106728;0,0019437541275260095
2021-02-11;-0,006622481909749789;0,005710285261221859;0,0020185893065216565
2021-02-12;-0,005010665737555042;0,0047065571281561525;0,0020934300749568813
2021-02-17;-0,0002673991496912054;0,015460787125288533;0,0021682764332491278
2021-02-18;-0,011016432728912173;0,0049089896928082855;0,00224312838181584
2021-02-19;-0,021294561120505096;0,0016025911368271473;0,0023179859210746834
2021-02-22;-0,08704046113065655;-0,04968032524165422;0,0023928490514431022
2021-02-23;-0,05162797694749799;-0,02809595303564527;0,0024677177733387623
2021-02-24;-0,049253902341678035;-0,024376254660166574;0,0025425920871791075
2021-02-25;-0,08214257661487245;-0,05315541760151177;0,0026174719933820256
2021-02-26;-0,10234494190788068;-0,07188886452200638;0,0026923574923651827
2021-03-01;-0,10047699503054308;-0,0693584574638576;0,0027672485845462447
2021-03-02;-0,09011928178925854;-0,05919465578029337;0,0028421452703428773
2021-03-03;-0,0893705524618903;-0,06219740548929653;0,0029170475501729687
2021-03-04;-0,07299431624961694;-0,049494762057389785;0,0029919554244544067
2021-03-05;-0,0582994865426234;-0,02830682029049092;0,003066868893605079
2021-03-08;-0,10472217947692719;-0,06702204828016678;0,003141787958042652
2021-03-09;-0,09278062187870095;-0,06095750603080363;0,0032167126181852357
2021-03-10;-0,07485240722875064;-0,04876937870072051;0,0032916428744507176
2021-03-11;-0,062396986792535025;-0,030145582752745592;0,003366578727256986
2021-03-12;-0,06900657519086917;-0,037095767472460794;0,0034415201770221504
2021-03-15;-0,06559581452411012;-0,03126739654852495;0,0035164672241640993
2021-03-16;-0,07200341358730877;-0,03828505878979083;0,0035914198691009425
2021-03-17;-0,0535310324421151;-0,016945292599402917;0,00366637811225079
2021-03-18;-0,07545869724511756;-0,031402351591626076;0,0037705486456351966
2021-03-19;-0,0664595278064819;-0,019703436292784926;0,003874729990879233
2021-03-22;-0,07608780795422332;-0,03018775620371461;0,003978922149105113
2021-03-23;-0,09698214490862855;-0,044670119266519315;0,0040831251214350495
2021-03-24;-0,11093631653081304;-0,05477487811872661;0,004187338908991478
2021-03-25;-0,10108977634032978;-0,040553990451930644;0,004291563512896834
2021-03-26;-0,09046361353728427;-0,031857824862092765;0,004395798934273776
2021-03-29;-0,08672110121058985;-0,026476492518429873;0,004500045174245182
2021-03-30;-0,06853092433250363;-0,014406450851060293;0,004604302233933932
2021-03-31;-0,07149307359245871;-0,01622834393292738;0,004708570114462907
2021-04-01;-0,07832088298252604;-0,027876651090605442;0,004812848816955206
2021-04-05;-0,06150582845463115;-0,0087720778015824;0,004917138342533933
2021-04-06;-0,06207515594569302;-0,008932336915265182;0,005021438692322633
2021-04-07;-0,06611969624030134;-0,007878000641036498;0,005125749867444629
2021-04-08;-0,05542239298963347;-0,002066499097488239;0,005230071869023467
2021-04-09;-0,061478668248694635;-0,007490004892120372;0,005334404698182693
2021-04-12;-0,05446050985946971;0,002142411309232539;0,005438748356046297
2021-04-13;-0,05040197809778946;0,006233236053239777;0,005543102843738268
2021-04-14;-0,039114556252658805;0,014651056866681333;0,005647468162382374
2021-04-15;-0,03591849374309153;0,018075541085376123;0,0057518443131030494
2021-04-16;-0,037133070508433175;0,021559068135427628;0,005856231297024284
2021-04-19;-0,040845694673846356;0,020040823900538518;0,0059606291152707325
2021-04-20;-0,04896652954525471;0,012685774051519383;0,006065037768966608
2021-04-22;-0,054149925062949245;0,006857403127583428;0,006169457259236788
2021-04-23;-0,04251609229597664;0,016633209062231424;0,0062738875872057065
2021-04-26;-0,043955857570430634;0,017181463924830442;0,0063783287539984634
2021-04-27;-0,057960033190283644;0,007000792860878624;0,006482780760739937
2021-04-28;-0,044444619766852766;0,021044552033604225;0,006587243608555227
2021-04-29;-0,057074663823645566;0,012719512812294775;0,006691717298569433
2021-04-30;-0,06292756795332655;0,0028340559051269754;0,006796201831907878
2021-05-03;-0,06479423132956896;0,005490983316183362;0,006900697209696105
2021-05-04;-0,08099792069095058;-0,007135747903978862;0,007005203433059437
2021-05-05;-0,06885148227617777;0,008485298334992786;0,007109720503123862
2021-05-06;-0,062018989496648635;0,011496482734189684;0,007243353891937421
2021-05-07;-0,04840962490582368;0,029352721874525978;0,007377005012565441
2021-05-10;-0,050755185593160834;0,028264646839522012;0,0075106738673607065
2021-05-11;-0,040695763718508915;0,0371632449940118;0,007644360458676225
2021-05-12;-0,06641824043867306;0,009716763103291726;0,007778064788865446
2021-05-13;-0,054388901506599696;0,018117714536345586;0,007911786860282266
2021-05-14;-0,044256518169991654;0,02802847551409493;0,0080455266752808
2021-05-17;-0,03518366522642569;0,036943943048972416;0,00817928423621539
2021-05-18;-0,03007245553704918;0,03729820003711315;0,008313059545440815
2021-05-19;-0,03686165462307245;0,034396666610436055;0,008446852605311861
2021-05-20;-0,031368058777155206;0,03494492147303485;0,008580663418184198
2021-05-21;-0,032174778695468254;0,034025540241907404;0,008714491986413275
2021-05-24;-0,013281169866468767;0,046171494121021395;0,008848338312354986
2021-05-25;-0,02266094089405779;0,03736567755866371;0,008982202398365668
2021-05-26;-0,0175158843819313;0,04580880244268659;0,009116084246801881
2021-05-27;-0,018982382480715154;0,04899711533595408;0,009249983860020627
2021-05-28;0,0007950933030460572;0,05906813542738609;0,009383901240379133
2021-05-31;0,003918218995394129;0,06459285750434418;0,009517836390234846
2021-06-01;0,020644345412701437;0,08189240709188783;0,009651789311945436
